period,series_id,turnover
2016-05-01,A3348627A,3428.5
2016-06-01,A3348627A,3414.4
2016-07-01,A3348627A,3492.7
2016-08-01,A3348627A,3562.3
2016-09-01,A3348627A,3602.3
2016-10-01,A3348627A,3643.2
2016-11-01,A3348627A,4051.1
2016-12-01,A3348627A,4859.6
2017-01-01,A3348627A,3421.5
2017-02-01,A3348627A,3230.8
2017-03-01,A3348627A,3590.4
2017-04-01,A3348627A,3338.8
2017-05-01,A3348627A,3577.3
2017-06-01,A3348627A,3560.8
2017-07-01,A3348627A,3600.7
2017-08-01,A3348627A,3710.9
2017-09-01,A3348627A,3627.8
2017-10-01,A3348627A,3709.6
2017-11-01,A3348627A,4203.7
2017-12-01,A3348627A,4890.3
2018-01-01,A3348627A,3587.3
2018-02-01,A3348627A,3334.5
2018-03-01,A3348627A,3651.9
2018-04-01,A3348627A,3402.6
2018-05-01,A3348627A,3629.7
2018-06-01,A3348627A,3611.7
2018-07-01,A3348627A,3721.4
2018-08-01,A3348627A,3882.2
2018-09-01,A3348627A,3704.7
2018-10-01,A3348627A,3965.3
2018-11-01,A3348627A,4346.5
2018-12-01,A3348627A,5053.1
2019-01-01,A3348627A,3711.7
2019-02-01,A3348627A,3458.1
2019-03-01,A3348627A,3706.7
2019-04-01,A3348627A,3606.5
2019-05-01,A3348627A,3829.4
2019-06-01,A3348627A,3722.7
2019-07-01,A3348627A,3873.3
2019-08-01,A3348627A,3969.8
2019-09-01,A3348627A,3853.6
2019-10-01,A3348627A,4069.3
2019-11-01,A3348627A,4408.9
2019-12-01,A3348627A,5191.2
2020-01-01,A3348627A,3789.7
2020-02-01,A3348627A,3629.8
2020-03-01,A3348627A,4395.4
2020-04-01,A3348627A,3645.2
2020-05-01,A3348627A,4131.3
2020-06-01,A3348627A,4142.6
2020-07-01,A3348627A,4467.8
2020-08-01,A3348627A,4204.6
2020-09-01,A3348627A,4170.9
2020-10-01,A3348627A,4462.9
2020-11-01,A3348627A,5172.7
2020-12-01,A3348627A,5939.5
2021-01-01,A3348627A,4300.6
2021-02-01,A3348627A,4008.5
2021-03-01,A3348627A,4491.2
2021-04-01,A3348627A,4252.1
2021-05-01,A3348627A,4468.0
2021-06-01,A3348627A,4410.4
2021-07-01,A3348627A,4558.3
2021-08-01,A3348627A,4593.1
2021-09-01,A3348627A,4678.1
2021-10-01,A3348627A,4959.2
2021-11-01,A3348627A,5860.2
2021-12-01,A3348627A,6683.3
2022-01-01,A3348627A,4952.1
2022-02-01,A3348627A,4583.2
2022-03-01,A3348627A,5103.4
2022-04-01,A3348627A,4898.5
2022-05-01,A3348627A,5195.9
2022-06-01,A3348627A,5166.2
2022-07-01,A3348627A,5295.1
2022-08-01,A3348627A,5282.3
2022-09-01,A3348627A,5256.2
2022-10-01,A3348627A,5413.9
2022-11-01,A3348627A,6113.2
2022-12-01,A3348627A,6899.8
2023-01-01,A3348627A,5112.4
2023-02-01,A3348627A,4728.3
2023-03-01,A3348627A,5193.6
2023-04-01,A3348627A,4850.1
2023-05-01,A3348627A,5350.0
2023-06-01,A3348627A,5145.1
2023-07-01,A3348627A,5165.8
2023-08-01,A3348627A,5307.7
2023-09-01,A3348627A,5298.0
2023-10-01,A3348627A,5471.7
2023-11-01,A3348627A,6184.4
2023-12-01,A3348627A,6951.0
2024-01-01,A3348627A,5285.4
2024-02-01,A3348627A,5049.2
2024-03-01,A3348627A,5228.6
2024-04-01,A3348627A,5213.8
2024-05-01,A3348627A,5535.7
2024-06-01,A3348627A,5333.5
2024-07-01,A3348627A,5539.6
2024-08-01,A3348627A,5673.8
2024-09-01,A3348627A,5527.0
2024-10-01,A3348627A,5977.0
2024-11-01,A3348627A,6617.6
2024-12-01,A3348627A,7345.0
2025-01-01,A3348627A,5670.4
2025-02-01,A3348627A,5122.6
2025-03-01,A3348627A,5567.2
2025-04-01,A3348627A,5476.2
2025-05-01,A3348627A,5797.0
2025-06-01,A3348627A,5750.7
1982-04-01,A3348636C,342.4
1982-05-01,A3348636C,342.1
1982-06-01,A3348636C,328.7
1982-07-01,A3348636C,338.5
1982-08-01,A3348636C,331.5
